Listed name,Consolidated name
AAqua Ltd,Aaqua Ltd
AAQUA Ltd,Aaqua Ltd
Addeco,Adecco UK Ltd
Amazon UK,Amazon UK Services Ltd
Amazon UK Services,Amazon UK Services Ltd
ASDA Stores Ltd,Asda Stores Ltd
City Of Edinburgh Council,City of Edinburgh Council
The City of Edinburgh Council,City of Edinburgh Council
The City Of Edinburgh Council,City of Edinburgh Council
"Cleveland Bridge UK Ltd (in administration) and Secretary of State for Business, Energy and Industrial Strategy - 2501678/2021","Cleveland Bridge UK Ltd (in administration) and Secretary of State for Business, Energy and Industrial Strategy"
The Department for Work and Pensions,Department for Work and Pensions
The Secretary of State for the Department for Work and Pensions,Department for Work and Pensions
EEV Management Ltd T/a Lita Group Facilities Management,EEV Management Ltd
Falkirk Council:114691/2008,Falkirk Council
"Formation Furniture Ltd (in Administration) and Secretary of State for Business, Energy and Industrial Strategy","Formation Furniture Ltd (In Administration) and Secretary of State for Business, Energy and Industrial Strategy"
Glasgow City Council City Chambers,Glasgow City Council
Guy's and St Thomas' NHS Foundation Trust,Guy’s and St Thomas’ NHS Foundation Trust
Guy’s & St Thomas’s NHS Foundation Trust,Guy’s and St Thomas’ NHS Foundation Trust
Guys and St Thomas’ NHS Foundation Trust,Guy’s and St Thomas’ NHS Foundation Trust
Guys and St Thomas’s NHS Trust,Guy’s and St Thomas’ NHS Foundation Trust
London Ambulance Services NHS Trust,London Ambulance Service NHS Trust
Ministry Of Justice,Ministry of Justice
The Ministry Of Justice,Ministry of Justice
Moorfield Eye Hospital NHS Foundation Trust,Moorfields Eye Hospital NHS Foundation Trust
Cordant Recruitment Ltd T/a PMP Recruitment,PMP Recruitment Ltd
PMP Recruitment,PMP Recruitment Ltd
Royal Mail Group,Royal Mail Group Ltd
Royal Mail Ltd,Royal Mail Group Ltd
Secretary Of State For Justice,Secretary of State for Justice
Secretary of State for Justice (National Offender Management Service),Secretary of State for Justice
The Secretary of State for Justice,Secretary of State for Justice
The Secretary of State for Justice (HMP Wandsworth)2300413/2021,Secretary of State for Justice
Tesco,Tesco Stores Ltd
Tesco Express Whitley Street,Tesco Stores Ltd
Tesco plc,Tesco Stores Ltd
Commissioner of Police for the Metropolis,The Commissioner of Police of the Metropolis
Commissioner of Police of the Metropolis,The Commissioner of Police of the Metropolis
Metropolitan Police Commissioner,The Commissioner of Police of the Metropolis
The Commissioner of Police for the Metropolis,The Commissioner of Police of the Metropolis
The Commissioner of Police for the Metropolis,The Commissioner of Police of the Metropolis
The Commissioner of Police of Metropolis,The Commissioner of Police of the Metropolis
The Commissioner of the Police of the Metropolis,The Commissioner of Police of the Metropolis
